Player ID,First Name,Last Name,Postion,Team Name
1166,Mark,Baker,,Toronto Raptors
1167,Sean,Marks,,Toronto Raptors
1168,Paul,Pierce,F,Boston Celtics
1169,Marlon,Garnett,,Boston Celtics
1170,Jahidi,White,,Washington Wizards
1171,Randell,Jackson,,Washington Wizards
1172,Al,Harrington,,Indiana Pacers
1173,Shammond,Williams,,Atlanta Hawks
1174,Jeff,Sheppard,,Atlanta Hawks
1175,Roshown,McLeod,,Atlanta Hawks
1176,Pat,Garrity,,Phoenix Suns
1177,Gerald,Brown,,Phoenix Suns
1178,Toby,Bailey,,Phoenix Suns
1179,Michael,Olowokandi,,LA Clippers
1180,Tyrone,Nesby,,LA Clippers
1181,Michael,Dickerson,G,Houston Rockets
1182,Bryce,Drew,,Houston Rockets
1183,John,Coker,,Houston Rockets
1184,Cuttino,Mobley,,Houston Rockets
1185,Ruben,Patterson,,Los Angeles Lakers
1186,Sam,Jacobson,,Los Angeles Lakers
1187,Tyronn,Lue,,Los Angeles Lakers
1188,Kornel,David,,Chicago Bulls
1189,Cory,Carr,,Chicago Bulls
1190,Corey,Benjamin,,Chicago Bulls
1191,Paul,Grant,,Minnesota Timberwolves
1192,Andrae,Patterson,,Minnesota Timberwolves
1193,Raef,LaFrentz,C,Denver Nuggets
1194,Keon,Clark,,Denver Nuggets
1195,Tyson,Wheeler,,Denver Nuggets
1196,Robert,Traylor,,Milwaukee Bucks
1197,Earl,Boykins,,Brooklyn Nets
1198,Antawn,Jamison,,Golden State Warriors
1199,Mike,Bibby,G,Memphis Grizzlies
1200,Felipe,Lopez,,Memphis Grizzlies
1201,J.R.,Henderson,,Memphis Grizzlies
1202,Bonzi,Wells,,Portland Trail Blazers
1203,Damon,Jones,,Brooklyn Nets
1204,Charles,R. Jones,,Chicago Bulls
1205,Ryan,Stack,,Cleveland Cavaliers
1206,Brian,Skinner,,LA Clippers
1207,Jonathan,Kerner,,Orlando Magic
1208,Korleone,Young,,Detroit Pistons
1209,Trevor,Winter,,Minnesota Timberwolves
1210,Bruno,Sundov,,Dallas Mavericks
1211,Mirsad,Turkcan,,New York Knicks
1212,Alvin,Sims,,Phoenix Suns
